Cluster,Phase,Day of Date Trap,Cluster.code,ASBs Deployed,Form.Collectionid Check,Form.Sampleid Check,form.DyeFed,form.BloodFed,form.SugarFed,Indoor,Outdoor,Male,Female,An. gambiae,An. funestus
asb77,1,4-Mar-21,77,2,5097576,5148707,0,0,---,0,1,0,1,1,
asb77,1,4-Mar-21,77,2,5097648,5148751,0,0,---,0,1,0,1,1,
asb77,1,4-Mar-21,77,2,5097648,5148753,0,0,---,0,1,0,1,1,
asb77,1,4-Mar-21,77,2,5097648,5148755,0,0,---,0,1,0,1,1,
asb77,1,4-Mar-21,77,2,5097648,5148756,0,1,---,0,1,0,1,1,
asb77,1,4-Mar-21,77,2,5097656,5156300,1,,---,0,1,0,1,1,
asb77,1,4-Mar-21,77,2,5097656,5156313,0,1,---,0,1,0,1,1,
asb77,1,4-Mar-21,77,2,5097656,5156441,1,0,---,0,1,0,1,1,
asb84,1,4-Mar-21,84,3,5107443,5157924,1,0,---,0,1,0,1,1,
asb143,1,4-Mar-21,143,2,5097919,5154412,0,0,---,0,1,0,1,1,
asb151,1,4-Mar-21,151,3,5079270,5157391,0,0,---,0,1,0,1,1,
asb163,1,4-Mar-21,163,2,5076436,5149299,0,0,---,0,1,0,1,1,
asb163,1,4-Mar-21,163,2,5076436,5149304,0,0,---,0,1,0,1,1,
asb163,1,4-Mar-21,163,2,5076436,5149306,0,0,---,0,1,0,1,1,
asb163,1,4-Mar-21,163,2,5076436,5149309,0,0,---,0,1,0,1,1,
asb163,1,4-Mar-21,163,2,5076436,5149314,0,0,---,0,1,0,1,1,
asb163,1,4-Mar-21,163,2,5076442,5148068,1,0,---,0,1,0,1,1,
asb163,1,4-Mar-21,163,2,5076442,5148109,0,0,---,0,1,0,1,1,
asb163,1,4-Mar-21,163,2,5076442,5148110,0,0,---,0,1,0,1,1,
asb163,1,4-Mar-21,163,2,5076442,5148116,0,0,---,0,1,0,1,1,
asb163,1,4-Mar-21,163,2,5076443,5149270,0,0,---,0,1,0,1,1,
asb163,1,4-Mar-21,163,2,5076443,5149283,0,0,---,0,1,0,1,1,
asb163,1,4-Mar-21,163,2,5076450,5149224,0,0,---,0,1,0,1,1,
asb194,1,4-Mar-21,194,3,5097240,5148337,0,0,---,0,1,0,1,1,
asb194,1,4-Mar-21,194,3,5097319,5156871,0,0,---,0,1,0,1,1,
asb13,1,5-Mar-21,13,2,5113908,5156879,0,0,---,0,1,0,1,1,
asb13,1,5-Mar-21,13,2,5113910,5156932,0,0,---,0,1,0,1,1,
asb13,1,5-Mar-21,13,2,5113912,5156388,0,0,---,0,1,0,1,1,
asb33,1,5-Mar-21,33,3,5107886,5156771,0,0,---,0,1,0,1,1,
asb33,1,5-Mar-21,33,3,5107886,5156775,0,0,---,0,1,0,1,1,
asb45,1,5-Mar-21,45,2,5077443,5157243,0,0,---,0,1,0,1,1,
