Study Sites,Month,Year,Date,Species,Method,Room#/Poste ,# sleeper,Position,NightFrames,NightFrames_2,mosquito ID,Parity,fed/unfed,ELISA,Species
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,04H-06h,,84,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,04H-06h,,85,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,04H-06h,,86,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,04H-06h,,87,P,Unfed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,04H-06h,,88,NR,Fed,ND,ND
Balala,October,2016,18-Oct-2016,GA,HLC,2,,Inside,04H-06h,,89,NR,Fed,ND,ND
Balandougou,October,2016,18-Oct-2016,GA,HLC,1,,Outside,22h-00h,,1,P,Unfed,Negatif,ND
Balandougou,October,2016,18-Oct-2016,GA,HLC,1,,Outside,02h-04h,,2,P,Unfed,Negatif,ND
Balandougou,October,2016,18-Oct-2016,GA,HLC,1,,Inside,20h-22h,,3,P,Unfed,ND,ND
Balandougou,October,2016,18-Oct-2016,GA,HLC,1,,Inside,22h-00h,,4,P,Unfed,ND,ND
Balandougou,October,2016,18-Oct-2016,GA,HLC,1,,Inside,22h-00h,,5,P,Unfed,ND,M
Balandougou,October,2016,18-Oct-2016,GA,HLC,1,,Inside,22h-00h,,6,NP,Unfed,ND,ND
Balandougou,October,2016,18-Oct-2016,GA,HLC,1,,Inside,00h-02h,,7,P,Unfed,ND,ND
Balandougou,October,2016,18-Oct-2016,GA,HLC,1,,Inside,00h-02h,,8,P,Unfed,ND,ND
Balandougou,October,2016,18-Oct-2016,GA,HLC,1,,Inside,02h-04h,,9,P,Unfed,ND,ND
Balandougou,October,2016,18-Oct-2016,GA,HLC,1,,Inside,02h-04h,,10,P,Unfed,ND,ND
Balandougou,October,2016,18-Oct-2016,GA,HLC,2,,Inside,22h-00h,,11,P,Unfed,ND,ND
Balandougou,October,2016,18-Oct-2016,GA,HLC,2,,Inside,00h-02h,,12,P,Unfed,ND,ND
Balandougou,October,2016,18-Oct-2016,GA,HLC,2,,Inside,00h-02h,,13,P,Unfed,ND,M
Balandougou,October,2016,18-Oct-2016,GA,HLC,2,,Inside,00h-02h,,14,NR,P,ND,ND
Cissebougou,October,2016,19-Oct-2016,GA,HLC,1,,Outside,22h-00h,,1,NR,Fed,Negatif,ND
Cissebougou,October,2016,19-Oct-2016,GA,HLC,1,,Outside,00h-02h,,2,P,Unfed,Negatif,ND
Cissebougou,October,2016,19-Oct-2016,GA,HLC,1,,Outside,00h-02h,,3,P,Unfed,Negatif,ND
Cissebougou,October,2016,19-Oct-2016,GA,HLC,1,,Outside,00h-02h,,4,P,Unfed,Negatif,ND
Cissebougou,October,2016,19-Oct-2016,GA,HLC,2,,Outside,20h-22h,,5,NP,Unfed,Negatif,M
Cissebougou,October,2016,19-Oct-2016,GA,HLC,2,,Outside,00h-02h,,6,P,Unfed,Negatif,ND
Cissebougou,October,2016,19-Oct-2016,GA,HLC,2,,Outside,00h-02h,,7,P,Unfed,Negatif,ND
Cissebougou,October,2016,19-Oct-2016,GA,HLC,1,,Inside,20h-22h,,8,P,Unfed,ND,ND
Cissebougou,October,2016,19-Oct-2016,GA,HLC,1,,Inside,22h-00h,,9,P,Unfed,ND,ND
Cissebougou,October,2016,19-Oct-2016,GA,HLC,1,,Inside,22h-00h,,10,P,Unfed,ND,ND
Cissebougou,October,2016,19-Oct-2016,GA,HLC,2,,Inside,22h-00h,,11,NR,Fed,ND,M
Farabale,October,2016,19-Oct-2016,GA,HLC,2,,Outside,22h-00h,,1,P,Unfed,Negatif,ND
Farabale,October,2016,19-Oct-2016,GA,HLC,2,,Outside,00h-02h,,2,P,Unfed,Positif,ND
Farabale,October,2016,19-Oct-2016,GA,HLC,2,,Outside,00h-02h,,3,P,Unfed,Negatif,ND
Farabale,October,2016,19-Oct-2016,GA,HLC,2,,Outside,02h-04h,,4,NR,Fed,Negatif,ND
Farabale,October,2016,19-Oct-2016,GA,HLC,2,,Inside,20h-22h,,5,P,Unfed,ND,ND
Farabale,October,2016,19-Oct-2016,GA,HLC,2,,Inside,20h-22h,,6,P,Unfed,ND,ND
Farabale,October,2016,19-Oct-2016,GA,HLC,2,,Inside,00h-02h,,7,P,Unfed,ND,ND
Farabale,October,2016,19-Oct-2016,GA,HLC,2,,Inside,02h-04h,,8,P,Unfed,ND,ND
Farabale,October,2016,19-Oct-2016,GA,HLC,2,,Inside,02h-04h,,9,P,Unfed,ND,ND
Farabale,October,2016,19-Oct-2016,GA,HLC,2,,Inside,02h-04h,,10,P,Unfed,ND,M
Farabale,October,2016,19-Oct-2016,GA,HLC,2,,Inside,02h-04h,,11,NR,Fed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,20h-22h,,1,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,22h-00h,,2,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,22h-00h,,3,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,22h-00h,,4,P,Unfed,Positif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,00h-02h,,5,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,00h-02h,,6,P,Unfed,Negatif,G
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,00h-02h,,7,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,00h-02h,,8,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,00h-02h,,9,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,00h-02h,,10,P,Unfed,Negatif,G
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,00h-02h,,11,NR,Fed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,02h-04h,,12,P,Unfed,Negatif,M
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,02h-04h,,13,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,02h-04h,,14,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,02h-04h,,15,NP,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,02h-04h,,16,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,02h-04h,,17,P,Unfed,Positif,G
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,02h-04h,,18,NR,Fed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Outside,02h-04h,,19,NR,Fed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,22h-00h,,20,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,22h-00h,,21,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,22h-00h,,22,P,Unfed,Negatif,G
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,22h-00h,,23,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,22h-00h,,24,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,22h-00h,,25,NR,Fed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,00h-02h,,26,P,Unfed,Negatif,ND
