year,Month,Date,Vilage,location,Dedication,Intrvention,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,,,,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,,,,Malaise suplementary catch male,Malaise suplementary catch female,,tot f,tot m,,Sample PCR species ident.,An. coluzzi,An. gambiae s.s.,,Sample age grading,>3 gon. Cyc.,< 3 gon. Cyc.,,Sample Anthrone females,Anthrone positive females,,Sample Anthrone males,Anthrone positive males,,Sample ELISA,ELISA positive,,Remarcs,,
16,7,20-24,Kignele,periphery,Con.,NO,Malaise,24,31,12,39,57,5,9,17,25,14,,,,15,22,3,25,19,3,2,12,13,6,,,,,,,233,120,,2,0,,,ND,ND,ND,,20,8,,20,11,,20,0,,,,
16,7,22-26,Trekrouba,periphery,Con.,NO,Malaise,16,43,68,10,21,45,29,55,21,27,,,,9,31,37,5,10,21,13,27,12,15,,,,,,,335,180,,2,0,,,ND,ND,ND,,20,13,,20,10,,20,0,,,,
16,7,22-26,Balandougou,periphery,Con.,NO,Malaise,5,14,13,27,6,24,15,3,12,21,,,,2,4,1,8,0,11,3,0,8,5,,,,,,,140,42,,2,2,,,ND,ND,ND,,10,5,,10,6,,20,1,,,,
16,7,23-27,Krekrelo,periphery,Con.,NO,Malaise,2,3,0,9,4,11,3,12,5,13,,,,2,1,0,2,0,3,0,4,2,3,,,,,,,62,17,,2,1,,,ND,ND,ND,,10,3,,10,4,,10,0,,,,
16,7,23-27,Korea,periphery,Con.,NO,Malaise,7,1,5,0,3,4,2,20,12,5,,,,1,0,0,1,0,1,0,4,2,0,,,,,,,59,9,,2,2,,,ND,ND,ND,,10,6,,0,5,,10,0,,,,
16,7,24-28,Farabale,periphery,Con.,NO,Malaise,1,4,18,5,22,30,4,8,15,3,,,,0,0,3,2,5,3,1,4,5,1,,,,,,,110,24,,2,2,,,ND,ND,ND,,10,5,,10,7,,20,0,,,,
16,7,24-28,Cissebougou,periphery,Con.,NO,Malaise,4,0,0,3,15,3,21,2,8,3,,,,2,0,1,0,3,0,5,0,5,1,,,,,,,59,17,,2,2,,,ND,ND,ND,,10,4,,10,5,,20,0,,,,
16,7,25-29,Trekrou,periphery,Con.,NO,Malaise,7,13,5,36,41,25,9,11,37,8,,,,2,0,1,19,13,7,5,12,23,2,,,,,,,192,84,,2,1,,,ND,ND,ND,,20,13,,20,12,,22,1,,,,
16,7,25-29,Sirakele,periphery,Con.,NO,Malaise,0,14,3,1,9,21,6,8,24,7,,,,1,3,1,0,4,3,1,2,8,9,,,,,,,93,32,,2,2,,,ND,ND,ND,,20,10,,20,9,,10,0,,,,
16,7,26-30,Balala,periphery,Con.,NO,Malaise,4,7,0,9,15,0,3,1,8,5,,,,2,1,0,3,2,1,0,0,2,4,,,,,,,52,15,,2,2,,,ND,ND,ND,,10,3,,10,4,,10,0,,,,
16,7,27-31,Sambadani,periphery,Con.,NO,Malaise,13,50,16,28,34,15,7,31,12,20,,,,4,17,6,11,9,3,8,9,4,13,,,,,,,226,84,,2,2,,,ND,ND,ND,,20,8,,20,11,,20,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,20,,,,,,,200,96,,190,109,,242,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,8,12-16.,Madina,periphery,Con.,NO,Malaise,29,35,14,49,53,26,33,24,7,18,,,,10,21,5,32,27,18,41,10,23,7,,,,,,,288,194,,2,1,,,ND,ND,ND,,10,5,,10,4,,40,1,,,,
16,8,12-16.,Nianguanabougou,periphery,Con.,NO,Malaise,51,86,9,25,32,64,41,12,26,47,,,,35,43,14,28,41,32,18,11,35,24,,,,,,,393,281,,2,2,,,ND,ND,ND,,20,12,,20,14,,40,1,,,,
16,8,23-27,Tiko,periphery,Con.,NO,Malaise,17,15,66,51,23,42,59,70,31,27,,,,22,7,34,25,9,14,35,49,12,21,,,,,,,401,228,,2,0,,,ND,ND,ND,,20,13,,20,11,,40,0,,,,
16,8,13-17,Kignele,periphery,Con.,NO,Malaise,119,85,91,62,70,65,27,46,51,98,,,,61,45,37,40,32,26,16,32,13,73,,,,,,,714,375,,2,1,,,ND,ND,ND,,20,10,,20,13,,45,1,,,,
16,8,13-17,Trekrouba,periphery,Con.,NO,Malaise,69,94,50,23,36,44,91,32,102,75,,,,50,81,62,39,31,56,42,38,59,54,,,,,,,616,512,,2,1,,,ND,ND,ND,,20,14,,20,10,,40,2,,,,
16,8,16-20,Balandougou,periphery,Con.,NO,Malaise,20,25,39,44,31,50,28,17,45,8,,,,6,18,24,20,13,31,15,9,29,11,,,,,,,307,176,,2,0,,,ND,ND,ND,,10,5,,10,6,,40,1,,,,
16,8,16-20,Krekrelo,periphery,Con.,NO,Malaise,15,7,22,26,34,19,40,13,11,32,,,,9,5,12,17,8,12,21,6,4,25,,,,,,,219,119,,2,1,,,ND,ND,ND,,10,8,,10,7,,40,1,,,,
16,8,18-22,Korea,periphery,Con.,NO,Malaise,40,24,15,28,11,31,19,27,35,10,,,,26,7,9,15,5,24,12,17,27,6,,,,,,,240,148,,2,2,,,ND,ND,ND,,10,4,,10,6,,40,1,,,,
16,8,19-23,Farabale,periphery,Con.,NO,Malaise,22,40,36,25,18,25,38,15,11,31,,,,20,28,19,12,8,10,25,6,4,23,,,,,,,261,155,,2,1,,,ND,ND,ND,,10,5,,10,7,,40,0,,,,
16,8,20-24,Cissebougou,periphery,Con.,NO,Malaise,32,19,47,32,51,40,21,64,37,26,,,,13,15,26,11,32,23,14,41,44,15,,,,,,,369,234,,2,1,,,ND,ND,ND,,20,10,,20,14,,40,1,,,,
16,8,23-27,Trekrou,periphery,Con.,NO,Malaise,71,55,36,41,25,54,39,21,30,64,,,,55,64,43,35,21,46,35,14,23,85,,,,,,,436,421,,2,1,,,ND,ND,ND,,20,8,,20,11,,40,1,,,,
16,8,24-28,Sirakele,periphery,Con.,NO,Malaise,7,19,14,6,11,23,35,41,20,0,,,,9,11,3,5,10,16,22,30,14,0,,,,,,,176,120,,2,0,,,ND,ND,ND,,10,6,,10,6,,40,1,,,,
16,8,23-27,Balala,periphery,Con.,NO,Malaise,3,8,10,19,25,37,6,11,9,14,,,,6,7,3,12,5,20,3,7,2,8,,,,,,,142,73,,2,2,,,ND,ND,ND,,10,5,,10,7,,40,0,,,,
16,8,14-18,Sambadani,periphery,Con.,NO,Malaise,75,87,41,63,29,48,60,34,54,32,,,,19,35,26,40,16,34,45,19,34,23,,,,,,,523,291,,2,2,,,ND,ND,ND,,10,6,,10,5,,40,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5085,3327,,28,15,,,,,,,200,111,,200,121,,565,11,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9,13-17,Madina,periphery,Con.,NO,Malaise,23,12,18,27,36,45,16,21,9,53,,,,5,2,5,7,10,8,3,5,0,16,,,,,,,260,61,,2,1,,,ND,ND,ND,,20,5,,20,10,,30,0,,,,
16,9,13-17,Nianguanabougou,periphery,Con.,NO,Malaise,5,30,11,9,28,14,19,70,33,26,,,,2,9,4,3,14,2,1,17,5,8,,,,,,,245,65,,2,1,,,ND,ND,ND,,20,7,,20,9,,30,0,,,,
16,9,22-26,Tiko,periphery,Con.,NO,Malaise,10,3,16,25,36,8,20,5,10,6,,,,3,0,5,3,10,3,8,0,4,2,,,,,,,139,38,,2,2,,,ND,ND,ND,,10,6,,10,5,,30,1,,,,
16,9,16-20,Kignele,periphery,Con.,NO,Malaise,115,82,50,73,56,147,79,61,34,106,,,,25,37,41,26,37,85,58,42,15,66,,,,,,,803,432,,2,1,,,ND,ND,ND,,20,9,,20,12,,38,1,,,,
16,9,16-20,Trekrouba,periphery,Con.,NO,Malaise,42,36,23,31,29,34,12,73,26,40,,,,13,21,8,15,12,20,4,50,10,18,,,,,,,346,171,,2,2,,,ND,ND,ND,,20,5,,20,8,,30,0,,,,
16,9,25-29,Balandougou,periphery,Con.,NO,Malaise,25,4,11,8,12,21,25,7,3,16,,,,5,1,0,3,2,6,10,3,0,5,,,,,,,132,35,,2,1,,,ND,ND,ND,,10,4,,10,3,,30,1,,,,
16,9,19-23,Krekrelo,periphery,Con.,NO,Malaise,9,12,23,29,35,5,16,17,23,23,,,,4,2,8,5,14,1,3,1,6,7,,,,,,,192,51,,2,1,,,ND,ND,ND,,10,2,,10,4,,30,0,,,,
