year,Month,Date,Vilage,Location,Dedication,Intrvention,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,,,,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,,,,PSC suplementary catch male,PSC suplementary catch female,tot f,tot m,,Sample PCR species ident.,An. coluzzi,An. gambiae s.s.,,Sample Anthrone females,Sample Anthrone males,Anthrone positive females,Anthrone positive males,Sample ELISA,ELISA positive,,Remarcs
2016,6,7,Trekrou,inside,Con.,NO,PSC,0,0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,,,,,,,,,,,,,
2016,6,5,Sirakele,inside,Con.,NO,PSC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,,,,,,,,
2016,6,2,Balala,inside,Con.,NO,PSC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,,,,,,,,
2016,6,8,Sambadani,inside,Con.,NO,PSC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,7,14,Madina,inside,Con.,NO,PSC,9,1,0,5,17,8,3,0,1,12,,,,3,0,0,2,8,3,0,1,0,5,,,,,,56,22,,,,,,,,,,,,,
2016,7,14,Nianguanabougou,inside,Con.,NO,PSC,3,5,0,2,8,1,0,11,7,5,,,,1,2,0,0,5,0,0,4,2,3,,,,,,42,17,,,,,,,,,,,,,
2016,7,15,Tiko,inside,Con.,NO,PSC,3,10,14,19,5,1,7,2,10,6,,,,1,2,6,10,3,0,2,1,7,5,,,,,,77,37,,,,,,,,,,,,,
2016,7,15,Kignele,inside,Con.,NO,PSC,20,7,11,37,23,15,9,32,15,36,,,,11,2,4,13,8,6,4,19,5,10,,,,,,205,82,,,,,,,,,,,,,
2016,7,17,Trekrouba,inside,Con.,NO,PSC,8,13,9,5,17,20,14,7,8,13,,,,1,4,2,3,11,15,5,2,4,6,,,,,,114,53,,,,,,,,,,,,,
2016,7,17,Balandougou,inside,Con.,NO,PSC,2,0,10,4,11,18,5,2,12,3,,,,0,0,3,2,4,6,1,3,5,1,,,,,,67,25,,,,,,,,,,,,,
2016,7,17,Krekrelo,inside,Con.,NO,PSC,9,1,0,4,5,8,0,3,14,2,,,,4,2,0,1,2,2,0,1,3,0,,,,,,46,15,,,,,,,,,,,,,
2016,7,14,Korea,inside,Con.,NO,PSC,0,8,2,11,3,2,1,4,1,0,,,,1,2,1,1,1,0,1,2,0,0,,,,,,32,9,,,,,,,,,,,,,
2016,7,15,Farabale,inside,Con.,NO,PSC,10,3,15,6,21,4,0,9,5,2,,,,3,0,6,5,14,3,1,7,2,1,,,,,,75,42,,,,,,,,,,,,,
2016,7,18,Cissebougou,inside,Con.,NO,PSC,4,0,7,1,6,0,1,3,1,10,,,,1,1,2,0,1,0,2,1,0,3,,,,,,33,11,,,,,,,,,,,,,
