year,Month,Date,Vilage,Location,Dedication,Intrvention,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,,,,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,,,,CDC suplementary catch male,CDC suplementary catch female,,tot f,tot m,,Sample PCR species ident.,An. coluzzi,An. gambiae s.s.,,Sample age grading,>3 gon. Cyc.,< 3 gon. Cyc.,,Sample Anthrone females,Anthrone positive females,,Sample Anthrone males,Anthrone positive males,,Sample ELISA,ELISA positive,,Remarcs,,,,
16,4,23,Kignele,periphery,Con.,NO,CDC,2,0,1,0,0,1,1,1,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,6,0,,6,6,,,ND,ND,ND,,,,,,,,ND,ND,,supplementary catch,,,,
16,4,23,Trekrouba,periphery,Con.,NO,CDC,0,5,2,0,1,7,1,0,4,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,20,0,,10,9,,,ND,ND,ND,,,,,,,,ND,ND,,supplementary catch,,,,
16,4,24,Krekrelo,periphery,Con.,NO,CDC,0,1,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,2,0,,0,0,,,ND,ND,ND,,,,,,,,ND,ND,,supplementary catch,,,,
16,4,24,Trekrou,periphery,Con.,NO,CDC,1,0,1,0,0,0,0,3,0,2,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,7,0,,7,4,,,ND,ND,ND,,,,,,,,ND,ND,,supplementary catch,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0,,37,33,,,,,,,20,7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,9,Madina,periphery,Con.,NO,CDC,0,0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,0,0,,,ND,ND,ND,,,,,,,,,,,,,,,
16,5,9,Nianguanabougou,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,,,,,,,,
16,5,11,Tiko,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,,,,,,,,
16,5,11,Kignele,periphery,Con.,NO,CDC,0,0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,1,1,,,ND,ND,ND,,,,,,,,,,,,,,,
16,5,11,Trekrouba,periphery,Con.,NO,CDC,0,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,1,1,,,ND,ND,ND,,,,,,,,,,,,,,,
16,5,12,Balandougou,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,,,,,,,,
16,5,12,Krekrelo,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,,,,,,,,
16,5,13,Korea,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,,,,,,,,
16,5,13,Farabale,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,,,,,,,,
16,5,15,Cissebougou,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,,,,,,,,
16,5,16,Trekrou,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,1,1,,,ND,ND,ND,,,,,,,,,,,,,,,
16,5,17,Sirakele,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,,,,,,,,
16,5,18,Balala,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,,,,,,,,
16,5,18,Sambadani,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,3,3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,29,Kignele,periphery,Con.,NO,CDC,12,0,0,0,1,1,0,0,2,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,16,0,,16,15,,,,,,,16,3,,,,,,,,supplementary catch,,,,
16,5,29,Trekrouba,periphery,Con.,NO,CDC,0,0,2,0,1,3,0,0,0,4,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,10,0,,10,10,,,,,,,10,2,,,,,,,,supplementary catch,,,,
16,5,29,Madina,periphery,Con.,NO,CDC,0,2,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,3,0,,3,3,,,,,,,3,0,,,,,,,,supplementary catch,,,,
16,5,30,Nianguanabougou,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,,,,,0,,,,,,,,,supplementary catch,,,,
16,5,30,Trekrou,periphery,Con.,NO,CDC,0,2,1,0,2,4,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,1,,,,,,,10,1,,10,10,,,,,,,10,7,,1,,,,,,supplementary catch,,,,
16,5,30,Sambadani,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,0,0,,,,,,,1,0,,,,,,,,supplementary catch,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,,39,38,,,,,,,40,12,,1,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,30,Kignele,periphery,Con.,NO,CDC,2,0,1,0,0,2,1,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,7,0,,5,5,,,,,,,0,,,,,,2,0,,supplementary catch,,,,
16,5,30,Trekrouba,periphery,Con.,NO,CDC,0,1,0,0,2,0,1,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,5,0,,5,5,,,,,,,5,2,,,,,5,0,,supplementary catch,,,,
16,5,30,Madina,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,,,,,0,,,,,,0,0,,supplementary catch,,,,
16,5,31,Nianguanabougou,periphery,Con.,NO,CDC,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,1,1,,,,,,,0,,,,,,1,0,,supplementary catch,,,,
16,5,31,Trekrou,periphery,Con.,NO,CDC,1,0,3,0,4,1,0,0,0,3,,,,0,0,1,0,1,0,0,0,0,0,,,,,,,12,2,,10,9,,,,,,,5,2,,2,,,5,0,,supplementary catch,,,,
16,5,31,Sambadani,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,,,,,0,,,,,,0,0,,supplementary catch,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2,,21,20,,,,,,,10,4,,2,0,,13,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6,10,Madina,periphery,Con.,NO,CDC,0,0,0,0,1,0,0,1,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,3,0,,3,2,,,ND,ND,ND,,3,1,,,,,3,0,,additional ELISA tests done after reporting,,,,
16,6,11,Nianguanabougou,periphery,Con.,NO,CDC,0,0,0,1,0,0,2,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,3,0,,3,3,,,ND,ND,ND,,3,2,,,,,3,0,,additional ELISA tests done after reporting,,,,
16,6,12,Tiko,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,0,,,,,,0,0,,additional ELISA tests done after reporting,,,,
16,6,12,Kignele,periphery,Con.,NO,CDC,1,0,3,0,2,4,0,0,1,3,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,14,0,,5,3,,,ND,ND,ND,,14,8,,,,,5,0,,additional ELISA tests done after reporting,,,,
16,6,12,Trekrouba,periphery,Con.,NO,CDC,0,2,0,1,4,0,1,0,0,3,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,11,0,,5,4,,,ND,ND,ND,,11,6,,,,,5,0,,additional ELISA tests done after reporting,,,,
16,6,14,Balandougou,periphery,Con.,NO,CDC,0,0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,1,1,,,ND,ND,ND,,0,,,,,,1,0,,additional ELISA tests done after reporting,,,,
16,6,15,Krekrelo,periphery,Con.,NO,CDC,0,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,1,1,,,ND,ND,ND,,0,,,,,,1,0,,additional ELISA tests done after reporting,,,,
16,6,14,Korea,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,0,,,,,,0,0,,additional ELISA tests done after reporting,,,,
16,6,15,Farabale,periphery,Con.,NO,CDC,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,1,1,,,ND,ND,ND,,0,,,,,,1,0,,additional ELISA tests done after reporting,,,,
16,6,17,Cissebougou,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,0,,,,,,0,0,,additional ELISA tests done after reporting,,,,
16,6,17,Trekrou,periphery,Con.,NO,CDC,2,3,5,1,12,2,0,1,4,8,,,,0,0,1,0,1,0,0,0,0,0,,,,,,,38,2,,20,18,,,ND,ND,ND,,38,23,,2,2,,10,0,,additional ELISA tests done after reporting,,,,
16,6,18,Sirakele,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,,,ND,ND,ND,,0,,,,,,0,0,,additional ELISA tests done after reporting,,,,
